Robert Lewandowski
Anthonyo Modeste
Serge Gnabry
Erling Haaland
Erling Braut Haland
Wout Weghorst
Ondrej Duda
Nadiem Amiri
Vincenzo Grifo
Florian Wirtz
Joshua Kimmich
Jadon Sancho
Florian Neuhaus
Filip Kostic
Kevin Kampl
Serge Gnabry
Roland Sallai
Dani Olmo
Jonas Hofmann
Daichi Kamada
Lars Stindl
Christopher Nkunku
Alphonso Davies
Angeliño
Christopher Lenz
Nordi Mukiele
Willi Orban
Raphael Framberger
Ludwig Augustinsson
Oscar Wendt
Dayot Upamecano
Philipp Max
Péter Gulácsi
Roman Bürki
Oliver Baumann
